Order_ID,Order_Date,Customer_ID,Customer_Region,Customer_City,Product_Category,Product_Name,Supplier_Name,Shipping_Mode,Warehouse_Location,Quantity,Unit_Price,Total_Revenue,Expected_Delivery_Days,Actual_Delivery_Days,Delay_Days,Delivery_Status,Return_Status,Customer_Rating
ORD00001,2022-11-11,CUST3619,South,Chennai,Sports,Dumbbells,MegaSource Inc,Sea,Delhi WH,7,3178.84,22251.88,7,7,0,On-Time,Returned,5
ORD00002,2022-02-24,CUST1456,West,Ahmedabad,Sports,Cricket Bat,ReliableGoods,Air,Mumbai WH,15,2906.35,43595.25,9,9,0,On-Time,Not Returned,5
ORD00003,2022-11-11,CUST1102,North,Delhi,Furniture,Wardrobe,MegaSource Inc,Road,Bangalore WH,11,3503.89,38542.79,6,8,2,Delayed,Returned,4
ORD00004,2023-03-06,CUST4037,East,Bhubaneswar,Sports,Cycle,MegaSource Inc,Sea,Mumbai WH,8,80.14,641.12,4,4,0,On-Time,Not Returned,4
ORD00005,2023-01-23,CUST2126,East,Guwahati,Furniture,Bed,SwiftVendors,Sea,Bangalore WH,7,549.66,3847.62,7,7,0,On-Time,Not Returned,5
ORD00006,2023-07-15,CUST2003,North,Jaipur,Clothing,Jeans,MegaSource Inc,Sea,Bangalore WH,19,4351.27,82674.13,9,9,0,On-Time,Not Returned,5
ORD00007,2022-06-06,CUST1914,Central,Indore,Electronics,Camera,FastSupply Co,Rail,Kolkata WH,11,3424.66,37671.26,4,5,1,Delayed,Not Returned,3
ORD00008,2022-04-24,CUST1571,Central,Nagpur,Electronics,Headphones,FastSupply Co,Rail,Bangalore WH,11,609.01,6699.11,9,9,0,On-Time,Not Returned,4
ORD00009,2022-06-04,CUST4016,East,Bhubaneswar,Sports,Yoga Mat,MegaSource Inc,Road,Delhi WH,4,4218.27,16873.08,5,8,3,Delayed,Not Returned,1
ORD00010,2022-03-30,CUST1419,East,Guwahati,Sports,Cricket Bat,FastSupply Co,Air,Delhi WH,8,1249.04,9992.32,3,3,0,On-Time,Not Returned,4
ORD00011,2022-12-11,CUST3771,South,Bangalore,Furniture,Bed,ReliableGoods,Air,Hyderabad WH,3,2417.39,7252.17,7,7,0,On-Time,Returned,5
ORD00012,2023-10-15,CUST4033,South,Bangalore,Clothing,Jeans,FastSupply Co,Sea,Mumbai WH,2,768.72,1537.44,8,8,0,On-Time,Not Returned,5
ORD00013,2023-03-20,CUST4654,East,Patna,Furniture,Chair,QuickMart Ltd,Road,Mumbai WH,12,3565.04,42780.48,7,7,0,On-Time,Not Returned,4
ORD00014,2022-09-16,CUST3233,Central,Nagpur,Grocery,Pulses,ReliableGoods,Air,Kolkata WH,6,3350.93,20105.58,4,4,0,On-Time,Not Returned,4
ORD00015,2023-09-12,CUST1356,South,Hyderabad,Sports,Yoga Mat,FastSupply Co,Rail,Bangalore WH,2,1095.01,2190.02,5,5,0,On-Time,Not Returned,5
ORD00016,2022-12-31,CUST3418,North,Jaipur,Electronics,Camera,SwiftVendors,Air,Hyderabad WH,1,4323.83,4323.83,9,8,-1,Early,Not Returned,5
ORD00017,2022-06-17,CUST2728,South,Chennai,Electronics,Tablet,ReliableGoods,Rail,Hyderabad WH,12,2036.46,24437.52,6,7,1,Delayed,Not Returned,3
ORD00018,2023-01-01,CUST1130,South,Bangalore,Furniture,Sofa,SwiftVendors,Rail,Delhi WH,12,1497.95,17975.4,8,8,0,On-Time,Not Returned,4
ORD00019,2022-09-20,CUST1122,South,Kochi,Furniture,Wardrobe,SwiftVendors,Sea,Mumbai WH,17,804.03,13668.51,5,5,0,On-Time,Not Returned,5
ORD00020,2023-08-12,CUST1383,West,Surat,Sports,Dumbbells,QuickMart Ltd,Air,Delhi WH,10,1367.53,13675.3,7,12,5,Delayed,Returned,1
ORD00021,2022-06-26,CUST1895,North,Chandigarh,Furniture,Sofa,QuickMart Ltd,Rail,Mumbai WH,16,159.03,2544.48,6,6,0,On-Time,Not Returned,4
ORD00022,2022-01-18,CUST1952,East,Kolkata,Electronics,Tablet,FastSupply Co,Sea,Delhi WH,15,2937.12,44056.8,5,5,0,On-Time,Not Returned,5
ORD00023,2023-02-14,CUST3069,Central,Bhopal,Electronics,Laptop,FastSupply Co,Air,Mumbai WH,15,4219.04,63285.6,3,5,2,Delayed,Not Returned,3
ORD00024,2023-11-07,CUST3465,Central,Nagpur,Electronics,Laptop,MegaSource Inc,Road,Delhi WH,19,2767.45,52581.55,8,9,1,Delayed,Not Returned,3
ORD00025,2023-12-09,CUST1108,East,Guwahati,Grocery,Oil,QuickMart Ltd,Air,Mumbai WH,12,1135.41,13624.92,4,4,0,On-Time,Not Returned,5
ORD00026,2022-10-11,CUST3298,West,Pune,Furniture,Sofa,FastSupply Co,Air,Bangalore WH,3,216.66,649.98,5,5,0,On-Time,Returned,5
ORD00027,2022-10-17,CUST1814,Central,Bhopal,Sports,Cycle,ReliableGoods,Road,Delhi WH,5,1112.41,5562.05,5,5,0,On-Time,Not Returned,4
ORD00028,2023-10-21,CUST3932,South,Bangalore,Electronics,Mobile,FastSupply Co,Sea,Delhi WH,19,2109.8,40086.2,3,4,1,Delayed,Not Returned,3
ORD00029,2022-04-01,CUST3661,Central,Indore,Grocery,Sugar,FastSupply Co,Sea,Delhi WH,7,3810.08,26670.56,7,7,0,On-Time,Not Returned,5
ORD00030,2022-05-07,CUST3872,North,Delhi,Furniture,Table,ReliableGoods,Rail,Delhi WH,9,979.82,8818.38,9,9,0,On-Time,Not Returned,4
ORD00031,2022-04-14,CUST3232,North,Delhi,Clothing,T-Shirt,ReliableGoods,Air,Kolkata WH,7,3612.97,25290.79,9,9,0,On-Time,Not Returned,4
ORD00032,2023-11-18,CUST2718,East,Kolkata,Sports,Football,ReliableGoods,Air,Kolkata WH,18,4341.32,78143.76,8,8,0,On-Time,Not Returned,4
ORD00033,2023-12-29,CUST1902,West,Surat,Sports,Yoga Mat,SwiftVendors,Rail,Bangalore WH,4,2297.04,9188.16,8,15,7,Delayed,Not Returned,3
ORD00034,2023-09-20,CUST2839,West,Pune,Sports,Yoga Mat,ReliableGoods,Road,Delhi WH,14,4116.09,57625.26,4,7,3,Delayed,Returned,2
ORD00035,2023-05-20,CUST3413,Central,Bhopal,Sports,Football,QuickMart Ltd,Rail,Mumbai WH,18,2795.55,50319.9,5,7,2,Delayed,Not Returned,3
ORD00036,2022-07-20,CUST2139,West,Surat,Clothing,Saree,SwiftVendors,Sea,Delhi WH,9,3203.6,28832.4,6,6,0,On-Time,Not Returned,4
ORD00037,2023-07-14,CUST4315,West,Surat,Furniture,Chair,FastSupply Co,Rail,Bangalore WH,2,2655.08,5310.16,5,5,0,On-Time,Not Returned,4
ORD00038,2023-07-18,CUST4560,Central,Raipur,Furniture,Chair,MegaSource Inc,Air,Delhi WH,15,2342.7,35140.5,9,9,0,On-Time,Returned,5
ORD00039,2022-03-24,CUST1026,North,Delhi,Furniture,Sofa,ReliableGoods,Air,Mumbai WH,7,1211.53,8480.71,4,4,0,On-Time,Not Returned,4
ORD00040,2023-06-28,CUST4108,South,Kochi,Sports,Cricket Bat,ReliableGoods,Air,Delhi WH,12,1550.81,18609.72,5,4,-1,Early,Not Returned,4
ORD00041,2022-05-31,CUST4300,East,Bhubaneswar,Clothing,Saree,MegaSource Inc,Rail,Hyderabad WH,8,1485.35,11882.8,3,3,0,On-Time,Not Returned,5
ORD00042,2023-04-20,CUST1653,North,Jaipur,Grocery,Oil,QuickMart Ltd,Road,Mumbai WH,15,2838.28,42574.2,9,9,0,On-Time,Not Returned,4
ORD00043,2022-09-13,CUST3859,West,Surat,Sports,Cycle,MegaSource Inc,Rail,Kolkata WH,3,643.77,1931.31,5,5,0,On-Time,Not Returned,5
ORD00044,2022-01-03,CUST2731,West,Ahmedabad,Clothing,Shoes,SwiftVendors,Sea,Bangalore WH,14,4588.12,64233.68,5,6,1,Delayed,Returned,3
